GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0203000,0203000,"Anchorage municipality, Alaska",22906,4057,9567,1812,1223,423,1336,726,819,371,638,573,271,382,307,316,880,446,842,378,919,377,936,436,999,254,203,167,94,123,100,141,13339,2601,1668,995,1666,988,478,289,419,347,171,171,1489,334,1335,506,1054,266,1659,634,1022,599,1087,441,899,287,328,216,64,108
1600000US0446000,0446000,"Mesa city, Arizona",10060,2373,4834,1351,521,412,402,297,562,505,146,214,394,333,312,275,740,480,540,454,175,171,290,218,497,433,249,351,0,208,6,13,5226,1472,402,451,310,267,113,131,264,216,269,323,348,263,721,527,457,279,173,162,1217,626,809,454,70,119,73,125,0,208
1600000US0455000,0455000,"Phoenix city, Arizona",32710,4685,14609,2292,812,475,1257,592,1157,542,725,425,227,228,1879,806,1334,761,1420,504,2389,613,1541,586,1050,549,577,356,189,170,52,80,18101,3135,1356,698,1416,855,1561,625,962,546,661,544,1407,515,1790,726,1617,621,3260,748,1454,559,1382,437,777,326,213,191,245,343
1600000US0477000,0477000,"Tucson city, Arizona",22287,4805,10922,2407,431,524,1128,633,1205,803,273,259,473,299,754,567,1092,572,613,453,2027,828,1525,660,1047,460,293,270,61,103,0,208,11365,3091,980,541,400,347,734,641,500,540,314,191,1488,1316,1172,515,901,567,1668,887,1166,474,953,589,686,520,150,247,253,304
1600000US0644000,0644000,"Los Angeles city, California",24208,4615,11291,2112,133,132,477,462,630,354,138,185,357,276,1104,496,563,262,1451,618,2024,756,1916,889,1415,545,911,560,37,59,135,211,12917,2945,521,334,450,264,849,380,942,556,394,274,773,499,791,399,1020,589,1907,843,1767,612,1536,706,1432,597,324,182,211,181
1600000US0668000,0668000,"San Jose city, California",7629,2414,3554,1232,472,349,807,555,164,155,101,136,59,101,57,95,188,154,252,241,429,311,549,347,191,182,193,150,92,150,0,210,4075,1457,620,484,378,292,229,233,108,132,69,90,84,108,472,392,384,353,454,283,421,400,196,147,280,173,285,168,95,148
1600000US2743000,2743000,"Minneapolis city, Minnesota",7272,1791,3478,998,311,282,355,274,236,210,248,154,433,448,93,159,483,526,426,493,381,294,56,81,300,161,156,191,0,153,0,153,3794,1026,341,286,397,352,435,323,242,179,60,79,58,97,462,395,218,217,587,305,293,215,336,300,159,239,72,139,134,207
1600000US3502000,3502000,"Albuquerque city, New Mexico",24814,2704,10540,1830,569,547,987,432,1347,426,168,208,77,130,771,379,481,387,1277,750,1901,634,1114,438,952,441,694,362,97,99,105,134,14274,1425,986,550,696,375,822,384,998,596,290,194,1069,329,1518,285,1634,416,1719,462,1736,314,1608,370,1033,477,165,187,0,201
1600000US3651000,3651000,"New York city, New York",35124,5259,16752,2860,1159,648,860,464,866,424,324,276,625,531,1929,853,1551,651,1059,571,2528,821,2744,975,1628,696,1151,628,244,215,84,136,18372,2979,1466,732,735,474,1407,758,466,316,818,549,578,371,846,485,2385,1059,1797,872,2818,779,2038,742,1501,780,1109,532,408,273
