GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0107000,0107000,"Birmingham city, Alabama",52427,5140,27709,2947,1117,649,845,527,837,599,319,272,609,436,3361,1051,4749,1046,2935,869,3588,1088,2662,899,3442,840,1928,536,870,327,447,205,24718,3365,1228,559,545,338,243,260,625,428,635,675,3501,1063,3450,925,2652,849,2489,656,1935,694,2692,666,2289,699,1729,512,705,344
1600000US0121184,0121184,"Dothan city, Alabama",43454,1325,20651,735,1254,234,1463,319,1209,280,884,172,232,124,1019,364,1217,379,1638,277,2714,323,2672,297,2804,315,2147,286,1040,210,358,148,22803,844,1278,211,1474,288,1290,325,643,198,364,109,1142,262,1505,301,1676,296,2598,290,2491,400,3210,398,2808,287,1440,224,884,287
1600000US0135896,0135896,"Hoover city, Alabama",63947,3189,30951,2266,1739,637,2086,720,1681,693,1224,492,372,337,736,530,1734,675,2476,799,3466,887,3372,887,5772,1067,3456,913,1860,453,977,461,32996,1824,1737,584,1379,570,1737,657,946,509,711,609,1305,592,1530,534,1659,574,3962,762,4387,1127,5510,1151,4393,1008,2561,603,1179,493
1600000US0137000,0137000,"Huntsville city, Alabama",119757,4664,59208,3055,2929,1021,2861,756,3004,851,1747,516,1581,581,3167,1199,4649,926,3849,941,8011,1222,7598,1189,9216,951,6430,719,2952,586,1214,412,60549,2427,3048,911,2971,773,4122,1174,1589,556,590,314,3725,879,3682,872,3532,707,6007,1284,8377,1228,9344,1029,7124,891,4229,741,2209,609
1600000US0150000,0150000,"Mobile city, Alabama",81651,4151,40304,2820,2146,784,1888,769,1397,556,936,460,1191,447,3208,809,3785,898,3269,979,4648,867,5082,903,5983,959,4705,819,1649,495,417,238,41347,2459,2025,720,1875,883,1127,387,700,348,1469,545,2868,757,2811,888,3150,767,4312,934,5554,1078,5901,1002,4964,789,2960,698,1631,574
1600000US0151000,0151000,"Montgomery city, Alabama",67441,2187,32486,1243,1418,347,1497,390,2329,316,1227,269,1034,437,1790,507,2009,338,1993,274,3831,473,4000,423,4845,486,3912,385,2025,396,576,319,34955,1296,1995,523,1454,480,1665,444,1050,374,926,530,1642,502,2107,226,1859,412,3576,371,4315,429,5454,489,4580,388,3203,437,1129,440
1600000US0177256,0177256,"Tuscaloosa city, Alabama",49185,3438,24443,2153,1191,535,1166,578,863,453,337,301,3563,792,4197,1084,2440,674,1528,541,2009,707,2060,751,2143,533,1655,475,1037,389,254,187,24742,2132,919,452,976,548,432,384,524,393,4940,1206,3296,1143,2526,709,856,424,1999,567,2240,653,2281,696,1934,553,1449,538,370,293
1600000US0203000,0203000,"Anchorage municipality, Alaska",182307,2690,94425,1433,5222,262,5051,654,4732,788,2552,313,1746,153,7679,575,8864,398,8124,440,13070,584,12842,382,13239,323,7954,226,2774,323,576,323,87882,1664,5940,674,4206,931,5232,952,2491,118,1508,253,5666,414,7361,361,6994,316,12328,737,11819,417,12780,258,7230,71,2733,486,1594,501
1600000US0404720,0404720,"Avondale city, Arizona",62317,4338,28686,2622,2531,1450,3093,999,2144,766,1117,520,887,536,1521,515,2759,1045,2236,1005,4719,1103,2397,862,2453,780,2011,691,205,209,613,470,33631,2841,3066,1065,2559,1009,2116,833,1361,616,1005,733,2948,1195,2883,893,2058,776,4494,857,3398,1136,4191,1076,2200,804,1041,622,311,290
