GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0107000,0107000,"Birmingham city, Alabama",212744,1671,101498,2971,6735,1258,5456,1187,7466,1711,2596,746,2376,727,1327,809,2203,907,5660,1232,11880,1423,8026,1513,5541,1081,6107,1607,5106,1041,5306,948,6071,1179,3581,889,3303,832,2177,677,2575,727,3441,895,2164,593,1210,416,1191,569,111246,3169,7037,1354,5673,1299,3504,1089,2776,865,2386,1106,2558,935,1789,861,5976,1487,9804,1336,9090,1349,6824,1195,5195,1103,6246,909,7396,1204,7434,1398,3146,821,5492,966,2988,824,2711,647,5018,1130,3413,675,2510,666,2280,616
1600000US0121184,0121184,"Dothan city, Alabama",67526,580,31708,636,2342,263,2516,401,2312,385,1433,216,452,189,372,225,311,201,1037,298,2228,400,2469,283,1922,390,1937,356,1779,305,2050,284,2419,369,722,190,857,211,713,192,1006,246,1087,216,717,203,618,196,409,159,35818,634,2355,264,2683,363,2097,382,1213,245,633,135,456,189,516,252,1025,290,2626,330,2725,328,2043,389,2127,338,2249,340,1810,334,2793,379,836,243,1108,219,880,204,1191,245,1584,275,929,201,898,209,1041,288
1600000US0135896,0135896,"Hoover city, Alabama",84937,66,40322,1840,2483,771,2644,825,2619,864,1671,564,648,381,253,253,156,268,745,464,2909,1061,3129,895,3072,954,2404,993,2428,657,2436,757,3090,864,1614,801,1548,685,1013,409,849,423,1724,746,1005,391,905,447,977,461,44615,1843,2432,907,2210,838,3078,938,1578,746,1254,814,604,497,191,224,1447,771,3059,918,2210,791,3179,839,3280,983,3084,945,2639,930,3666,1081,765,440,1414,474,1426,580,1509,533,1771,643,1550,600,1090,496,1179,493
1600000US0137000,0137000,"Huntsville city, Alabama",195369,1502,92699,2263,6533,1074,5712,1130,5268,1086,2752,720,2899,872,550,343,1629,653,4269,1240,7874,1150,6355,1076,7061,1250,5416,1156,5154,893,5974,1068,6305,990,3109,950,2820,741,1367,443,3050,642,3762,684,2090,530,1415,470,1335,405,102670,1835,5761,1057,5856,1081,6375,1326,3230,642,2042,887,1395,770,1920,909,5938,1259,7850,1147,6906,948,6460,1490,5446,1068,5211,1026,6921,1312,7221,1252,2350,668,3693,1011,2426,928,3914,1068,4031,862,2753,578,2310,675,2661,634
1600000US0150000,0150000,"Mobile city, Alabama",190273,44,91603,2282,6335,1106,5093,1120,5025,1047,3163,732,2718,770,1291,625,2125,788,4302,971,8648,1022,7081,1001,4717,1096,6044,1236,5253,657,6199,876,5595,975,2218,671,3878,791,2040,538,2886,605,3177,714,1895,539,1198,399,722,320,98670,2279,6003,1072,5170,1190,4596,965,3290,676,2647,755,2029,770,2141,937,3127,617,7636,1169,7604,1036,5944,1258,5354,1143,5167,1045,7039,1035,6503,1008,2978,891,4053,1001,2191,536,3563,758,4301,757,2739,597,1820,509,2775,802
1600000US0151000,0151000,"Montgomery city, Alabama",199525,34,93275,1132,6349,524,6181,1178,7204,1154,4104,423,3221,510,1129,679,1008,703,5155,826,7424,599,6399,494,5645,1286,6539,1307,5056,575,5531,508,6039,919,1289,492,3040,803,2523,701,2311,563,2552,612,2153,592,1471,454,952,423,106250,1136,7159,438,6114,1606,6589,1663,4157,415,2777,659,1802,819,512,320,5202,1109,8519,467,6742,671,5939,1205,7481,1177,6662,396,6551,461,7067,1043,2270,706,4214,836,1961,587,3084,655,3917,727,3425,657,1628,494,2478,691
1600000US0177256,0177256,"Tuscaloosa city, Alabama",100296,38,47818,1702,3011,740,2909,784,2534,645,1108,439,4645,1024,1265,766,1145,619,3964,1416,4486,895,4061,881,2520,941,2943,994,2408,601,1756,655,2124,593,547,345,1775,787,715,378,1250,517,1309,467,598,334,491,228,254,187,52478,1703,2143,813,3003,777,1550,665,1835,436,6484,1214,1774,925,2857,1278,3193,1307,4606,938,2957,518,3576,784,2018,838,2470,651,2131,489,2295,800,1322,614,2118,937,1035,471,1033,587,1400,514,1254,633,832,449,592,376
1600000US0203000,0203000,"Anchorage municipality, Alaska",294356,*****,149386,1234,9966,866,11141,1104,9376,1067,5722,1036,4742,900,2251,985,2662,781,6632,1298,14458,732,12444,846,11997,1637,8622,1416,8833,703,8241,524,8714,1147,4095,855,4514,874,2849,654,3697,901,4186,782,2227,551,1227,361,790,354,144970,1234,11591,836,10434,1495,8816,1334,4996,778,3163,778,2417,884,1765,853,6216,1147,12268,947,10848,1003,12592,1545,8285,1268,7569,557,9783,987,9999,1067,3203,907,5040,950,2114,757,3924,838,4138,747,2268,720,1571,445,1970,652
1600000US0404720,0404720,"Avondale city, Arizona",84034,49,39677,2020,3478,1530,3703,1075,2730,802,1488,614,1359,666,709,387,473,275,1263,584,3820,1140,3467,1131,2464,710,4317,1237,1957,605,1798,819,1465,598,931,384,586,358,753,532,971,473,795,486,365,277,172,206,613,470,44357,2018,3790,1108,3425,1057,3080,1008,1980,755,1269,769,609,629,760,542,2252,887,4022,956,3300,1013,3664,937,2525,766,2763,986,1803,760,2233,825,1608,699,1235,660,801,428,924,441,834,583,720,540,395,287,365,298
