GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0203000,0203000,"Anchorage municipality, Alaska",31646,2025,14506,1085,1117,254,1302,551,1417,439,982,153,631,425,1121,376,1237,325,945,225,1479,266,1770,139,1322,124,755,245,314,232,114,141,17140,1137,1259,326,1561,636,623,434,849,159,952,594,1189,694,1101,718,832,472,2633,551,2367,251,1808,94,1101,94,553,338,312,309
1600000US0412000,0412000,"Chandler city, Arizona",25208,3542,11155,1673,666,350,1205,521,486,293,412,241,105,113,99,113,959,571,1010,426,2712,699,1696,567,1120,431,327,275,248,150,110,184,14053,2225,1067,417,916,437,1190,492,563,300,258,243,336,276,808,452,1538,558,2658,670,2007,566,1151,495,1146,466,415,292,0,208
1600000US0427400,0427400,"Gilbert town, Arizona",12125,2670,6041,1503,303,245,387,289,397,360,345,264,0,208,550,740,252,257,702,415,1202,505,973,439,673,419,107,133,150,131,0,208,6084,1514,271,206,549,436,162,202,208,203,66,111,340,242,346,235,649,349,1171,556,1014,419,1088,545,107,130,45,77,68,112
1600000US0427820,0427820,"Glendale city, Arizona",11402,2861,5386,1585,174,180,171,165,248,152,330,282,122,140,573,454,366,327,338,312,956,515,909,442,780,361,275,174,144,174,0,208,6016,1529,0,208,236,191,340,313,137,167,341,321,165,194,232,261,356,275,720,336,1649,587,535,249,862,417,175,219,268,300
1600000US0446000,0446000,"Mesa city, Arizona",10121,1979,4027,878,100,117,123,153,136,130,81,131,0,208,372,223,403,336,617,416,805,447,543,282,633,305,161,169,41,67,12,26,6094,1326,236,272,349,262,233,195,40,67,109,129,589,324,905,464,166,211,1251,449,866,374,620,302,449,265,281,229,0,208
1600000US0455000,0455000,"Phoenix city, Arizona",65216,6300,31420,3898,1968,672,1931,701,1050,539,941,469,1115,506,2619,2093,3308,1077,3302,672,4833,902,4150,849,2962,751,2141,544,780,405,320,182,33796,3359,2080,567,1585,691,2338,735,1138,517,748,328,1647,617,4235,932,3129,842,6233,1138,3869,912,3521,644,1752,595,1343,504,178,157
1600000US0465000,0465000,"Scottsdale city, Arizona",11946,3237,5378,1719,715,519,401,292,335,337,35,58,29,52,43,70,284,291,430,429,1437,660,281,230,217,206,781,408,264,354,126,209,6568,1746,508,416,425,318,266,439,115,144,0,208,524,436,509,531,596,434,985,429,952,485,621,343,818,418,213,253,36,60
1600000US0473000,0473000,"Tempe city, Arizona",14652,3131,7467,1906,804,681,110,141,0,208,120,143,652,408,2096,1118,1650,829,674,498,798,351,300,237,154,153,0,208,44,76,65,110,7185,1873,320,341,289,304,282,345,0,208,222,213,1752,750,715,429,1492,918,834,408,164,196,744,457,302,305,69,114,0,208
1600000US0477000,0477000,"Tucson city, Arizona",16624,2380,8381,1645,242,221,313,315,296,250,60,76,752,440,2328,1048,859,402,336,330,1296,537,559,231,591,220,398,243,351,350,0,208,8243,1261,252,287,411,306,402,294,185,146,854,832,788,437,872,354,636,290,713,357,1038,394,958,291,808,323,232,178,94,120
