GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0107000,0107000,"Birmingham city, Alabama",151314,5049,68672,3518,4923,1051,4194,1038,6062,1549,2170,716,1696,482,5001,1053,6554,1157,4296,1146,7304,1226,7618,1023,9441,1221,6165,672,2504,564,744,507,82642,3377,5406,1141,4724,1200,3142,985,2141,776,1534,658,6179,1055,6064,1067,6004,1062,9023,1248,11392,1125,13182,1311,8289,840,4055,740,1507,519
1600000US0121184,0121184,"Dothan city, Alabama",21741,1182,9933,729,832,202,980,282,969,242,486,146,196,133,626,256,912,107,810,86,1048,172,1047,174,1098,142,612,157,281,102,36,48,11808,703,859,137,992,220,721,199,527,116,240,72,781,126,1040,152,950,107,1527,253,1475,188,1482,131,734,183,323,114,157,121
1600000US0137000,0137000,"Huntsville city, Alabama",61312,3548,27001,2207,3004,364,2327,710,2061,709,627,290,1193,611,2679,575,2534,681,2289,470,3208,710,2677,636,2486,759,1289,416,506,284,121,135,34311,2479,2262,671,2245,621,1914,669,1532,344,1188,631,4714,955,3568,617,2951,475,4807,808,2504,881,3009,553,2472,451,734,292,411,252
1600000US0150000,0150000,"Mobile city, Alabama",99489,4295,47456,2344,4077,722,2795,888,3306,931,1973,522,1195,571,4121,566,4731,505,3596,482,5419,668,5959,554,5618,744,3110,571,1251,328,305,201,52033,2859,3378,737,3107,874,3469,808,1962,551,1024,483,3622,818,4631,742,4009,886,5781,853,6217,904,7225,713,4965,534,1519,374,1124,500
1600000US0151000,0151000,"Montgomery city, Alabama",120350,2535,55065,1410,4080,565,4038,1110,4378,1022,2671,328,2003,213,5160,91,5101,323,4019,290,7345,295,5898,482,5225,397,3340,336,1498,244,309,216,65285,1599,4619,261,4128,1451,4436,1555,2642,330,1753,355,5294,494,6063,328,4687,498,8829,522,7889,516,7615,410,4348,471,1633,491,1349,510
1600000US0177256,0177256,"Tuscaloosa city, Alabama",46562,3181,20775,1973,1820,484,1743,541,1671,496,771,326,774,603,2035,794,1893,686,1755,253,2763,527,2104,570,1868,448,1526,269,52,65,0,200,25787,1728,1224,661,2027,684,1118,496,1311,186,1460,162,3217,640,2080,580,1971,308,3595,500,2319,565,3165,433,1534,370,585,432,181,229
1600000US0203000,0203000,"Anchorage municipality, Alaska",14810,1511,7577,773,439,369,435,325,241,228,0,153,280,275,699,593,1225,588,804,405,1304,670,690,433,591,339,710,353,159,196,0,153,7233,1208,390,444,540,567,622,529,158,221,158,276,1019,584,567,376,206,247,974,776,1049,664,1209,235,189,199,152,159,0,153
1600000US0412000,0412000,"Chandler city, Arizona",15065,3615,7843,2390,140,172,800,715,981,795,246,320,339,366,797,548,479,427,356,352,1009,467,862,522,1434,898,268,388,91,113,41,65,7222,1858,272,257,353,282,584,578,705,491,212,258,125,203,662,463,723,544,1451,684,696,407,976,549,366,221,97,118,0,208
1600000US0427820,0427820,"Glendale city, Arizona",19568,5095,9228,2385,1184,597,1066,813,349,349,348,264,69,70,370,263,214,255,1385,743,1634,834,1183,618,820,374,411,243,155,150,40,67,10340,3156,1290,682,1572,721,668,486,421,378,203,317,1123,817,682,390,723,510,854,602,1444,642,994,493,265,181,37,62,64,109
1600000US0446000,0446000,"Mesa city, Arizona",18938,4078,10536,2523,1299,822,876,638,881,508,390,443,441,412,650,447,939,557,760,509,1491,788,972,559,1152,661,484,279,186,159,15,29,8402,1938,588,546,612,423,431,533,459,422,230,376,1219,522,403,451,303,310,1147,674,1398,702,879,403,352,297,255,212,126,150
