"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,6181,"New York","NY","New York-Newark-Jersey City","Queens County",0,681000,-0.000440334654337296,-0.000440334654337296,0.0428790199081164,0.0663545273682156,0.0389790502975458,"2018-12","2018-Q4",682100,-0.00161266676440405,"2018-11"
2019-02-28,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,694200,0.00115373521776752,0.00652457590256633,0.0453244993223912,0.0784345200116292,0.0478991965956068,"2019-02","2019-Q1",694200,0,"2019-02"
2019-02-28,17426,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,228900,0.00131233595800525,0.00438788942518649,0.00703915530136384,0.048309383714632,0.00171995991261475,"2007-02","2007-Q1",263900,-0.13262599469496,"2004-11"
2019-02-28,39051,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,186900,0.00537923614846692,0.0207536865101038,0.072289156626506,0.0853442355375531,0.0406305167863878,"2019-02","2019-Q1",186900,0,"2019-02"
2019-02-28,6915,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,176400,0.00284252416145537,0.0149597238204833,0.0769230769230769,0.0770642240081301,0.0374765560048766,"2019-02","2019-Q1",176400,0,"2019-02"
2019-02-28,13271,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,160700,0.004375,0.028809218950064,0.115197779319917,0.0911389674215237,0.0345678666429408,"2019-02","2019-Q1",160700,0,"2019-02"
2019-02-28,40326,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,242300,0.00331262939958592,0.0116910229645094,0.0745011086474501,0.0865424197474423,0.0417242013425505,"2006-05","2006-Q2",252300,-0.0396353547364249,"2006-01"
2019-02-28,18959,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,275100,0.00182083029861617,0.00548245614035088,0.108827085852479,0.102875791767948,0.0439700149561217,"2006-06","2006-Q2",312200,-0.118834080717489,"2004-12"
2019-02-28,54296,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,632000,-0.00173748223029537,-0.00157977883096367,0.0233160621761658,0.059357970955741,0.0455052200037072,"2018-12","2018-Q4",633900,-0.0029973181889888,"2018-11"
2019-02-28,38128,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,214900,0.0127238454288407,0.0601874691662556,0.169205658324266,0.147951476371192,0.0656373045294905,"2019-02","2019-Q1",214900,0,"2019-02"
2019-02-28,33839,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,1073500,-0.0100516414607156,-0.020529197080292,0.0484422306865905,0.0983110173189676,0.0692992075597629,"2018-10","2018-Q4",1097900,-0.0222242462883687,"2018-06"
2019-02-28,10221,"Austin","TX","Austin-Round Rock","Travis County",11,365600,0.00274273176083379,0.0110619469026549,0.0756104736687261,0.085751791400716,0.0553621956378441,"2019-02","2019-Q1",365600,0,"2019-02"
2019-02-28,25290,"Jacksonville","FL","Jacksonville","Duval County",12,177200,0.00681818181818182,0.0201496833621186,0.092478421701603,0.103486570617099,0.0250209992961834,"2006-10","2006-Q4",182000,-0.0263736263736264,"2006-05"
2019-02-28,20330,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",13,1365700,-0.00357507660878447,-0.00182721824294694,0.0418033412159585,0.0863074345438335,0.0644517335658918,"2019-01","2019-Q1",1370600,-0.00357507660878447,"2018-11"
2019-02-28,32149,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",14,142900,0.0106082036775106,0.0362581580855693,0.148713826366559,0.104847915707884,0.0296432599265617,"2019-02","2019-Q1",142900,0,"2019-02"
2019-02-28,24043,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,225000,0.00401606425702811,0.0213345438039038,0.0859073359073359,0.0899024739913836,0.0373033774956277,"2019-02","2019-Q1",225000,0,"2019-02"
