GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0121184,0121184,"Dothan city, Alabama",2999,272,1613,213,242,100,143,115,183,111,77,78,24,40,163,126,169,142,160,132,128,116,190,131,94,65,20,30,20,24,0,200,1386,152,156,100,158,104,146,111,93,79,20,41,66,108,102,129,195,187,45,44,206,85,106,63,78,56,15,26,0,200
1600000US0137000,0137000,"Huntsville city, Alabama",11588,1975,6491,1125,698,228,617,412,678,466,207,203,323,266,324,345,294,276,295,217,1955,550,300,262,391,330,409,321,0,200,0,200,5097,1098,721,148,902,356,355,235,204,158,0,200,333,253,586,347,363,266,700,377,501,298,127,154,164,242,90,127,51,92
1600000US0151000,0151000,"Montgomery city, Alabama",7418,568,3687,384,204,272,583,237,444,237,312,283,304,227,147,130,178,149,177,218,696,269,312,235,121,148,174,147,35,56,0,200,3731,508,1166,272,376,326,202,228,224,344,0,200,290,218,252,249,264,244,344,276,278,270,300,173,35,56,0,200,0,200
1600000US0203000,0203000,"Anchorage municipality, Alaska",26948,*****,12631,616,588,407,1127,549,1341,549,481,429,733,427,1405,427,1600,*****,612,454,2174,637,1241,580,675,396,654,396,0,153,0,153,14317,616,2505,407,1759,860,1007,597,414,476,544,377,1106,377,1331,*****,923,586,2436,641,718,458,779,315,553,363,162,162,80,140
1600000US0404720,0404720,"Avondale city, Arizona",49469,4772,23082,3172,2706,1479,2746,956,1549,609,938,478,646,415,1505,684,2569,1025,2235,952,3794,1202,2024,681,1165,552,717,461,424,312,64,103,26387,2781,2840,990,2558,960,2100,843,1078,477,1121,731,1979,838,2857,800,1293,552,3815,907,2060,875,2437,869,1327,560,623,534,299,289
1600000US0407940,0407940,"Buckeye city, Arizona",29237,3874,16305,2553,1003,541,1083,485,1129,583,839,642,506,372,1744,652,1716,579,1751,735,3353,976,1931,600,909,633,145,142,131,218,65,109,12932,2524,1256,524,1623,958,1393,669,895,580,461,446,729,387,571,352,1138,590,1717,773,1753,592,307,276,280,229,333,331,476,580
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",17444,3518,8659,2022,601,378,417,344,575,353,310,242,455,315,1055,675,1212,718,772,584,881,547,738,410,608,362,727,365,199,228,109,181,8785,2065,564,462,267,273,459,316,232,203,297,306,523,472,1072,581,1029,693,779,431,1448,569,886,391,715,587,336,326,178,192
1600000US0412000,0412000,"Chandler city, Arizona",44911,5139,23104,3471,1707,672,2608,935,2416,908,1104,432,1354,813,1462,823,1525,812,2436,1010,3376,965,2774,928,979,379,1072,559,291,330,0,208,21807,2624,1458,482,1110,637,2419,822,1522,728,405,277,1856,687,1216,884,1662,763,3733,911,2575,603,2502,621,707,317,251,201,391,370
1600000US0423620,0423620,"Flagstaff city, Arizona",14107,1557,7114,758,632,196,233,392,1214,464,220,197,713,345,1032,347,795,213,619,466,502,340,556,462,540,425,0,208,58,103,0,208,6993,1137,661,189,556,336,434,262,410,291,1139,548,963,464,634,452,305,319,668,392,413,324,327,277,309,279,174,181,0,208
