GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0203000,0203000,"Anchorage municipality, Alaska",27819,4431,14915,2439,1450,684,1757,747,1338,757,1288,814,1316,658,1357,653,1279,712,1135,505,2440,844,291,263,584,407,567,235,113,165,0,153,12904,2518,1983,690,2223,784,1293,460,817,632,374,335,435,364,1006,484,861,571,2081,875,700,639,741,448,317,283,73,91,0,153
1600000US0412000,0412000,"Chandler city, Arizona",10094,2107,4603,1060,1027,499,521,285,659,331,181,153,185,188,428,335,150,214,370,263,222,203,491,245,157,163,212,163,0,208,0,208,5491,1328,1118,606,1017,538,805,510,230,230,0,208,430,378,530,367,120,118,571,316,352,221,114,137,204,195,0,208,0,208
1600000US0427400,0427400,"Gilbert town, Arizona",10542,2671,5612,1607,1130,529,968,656,662,380,560,296,74,122,167,164,248,249,324,222,862,444,189,194,136,166,189,261,44,74,59,97,4930,1349,942,462,745,465,989,471,190,158,145,174,328,214,130,160,139,171,482,308,319,303,367,356,43,72,111,179,0,208
1600000US0427820,0427820,"Glendale city, Arizona",10106,2751,3766,807,522,368,569,427,577,402,163,202,258,201,408,321,319,271,143,157,448,336,102,124,119,113,138,108,0,208,0,208,6340,2293,773,531,674,414,770,557,532,327,213,185,416,393,826,527,533,424,429,269,577,487,383,304,214,187,0,208,0,208
1600000US0446000,0446000,"Mesa city, Arizona",19390,4060,10065,2223,2011,1026,1191,590,1264,512,332,224,257,230,538,338,1353,774,487,324,1540,589,408,299,403,305,212,243,0,208,69,114,9325,2311,1440,728,1255,531,846,402,694,452,288,284,782,493,897,394,622,455,586,273,618,308,793,643,178,238,181,277,145,173
1600000US0455000,0455000,"Phoenix city, Arizona",67794,6903,33998,3970,5017,1331,5228,1249,4615,1443,3306,1125,1306,616,2536,932,1872,697,1973,720,2809,860,2642,981,1532,564,715,500,359,236,88,138,33796,4343,5886,1567,5278,1416,3596,1111,2007,791,1549,577,2296,928,2747,980,2202,806,3491,1113,1833,577,1517,650,894,617,444,294,56,98
1600000US0477000,0477000,"Tucson city, Arizona",31564,3901,16762,2490,2103,749,2761,1207,1206,644,848,415,783,450,1463,650,1807,729,1321,680,1118,536,1510,567,923,467,634,418,268,236,17,33,14802,2129,1805,573,1392,668,1584,672,285,252,503,363,2145,852,914,412,1309,559,1518,786,831,432,1225,493,507,294,425,350,359,280
1600000US0602000,0602000,"Anaheim city, California",13556,2571,7441,1689,819,423,949,467,890,582,524,355,51,77,699,565,803,507,535,316,760,492,460,303,539,362,311,226,61,100,40,67,6115,1297,950,493,621,335,485,321,175,211,35,63,269,234,543,424,645,364,1021,434,460,330,555,307,223,218,133,182,0,210
1600000US0602553,0602553,"Arden-Arcade CDP, California",9111,2548,5164,1517,1036,627,696,399,446,387,244,207,76,132,151,149,906,654,664,432,405,274,329,364,92,159,90,119,0,210,29,67,3947,1348,777,438,164,161,142,137,0,210,118,176,815,630,562,315,136,135,269,188,413,366,400,440,122,146,29,67,0,210
