GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1600000US0107000,0107000,"Birmingham city, Alabama",47715,4950,24522,2624,992,598,499,339,586,459,174,147,609,436,2713,971,4620,1047,2447,728,3253,1054,2449,860,3167,744,1750,547,816,316,447,205,23193,3307,990,435,251,210,243,260,625,428,635,675,3113,1010,3379,884,2420,820,2284,645,1838,678,2692,666,2289,699,1729,512,705,344
1600000US0121184,0121184,"Dothan city, Alabama",40791,1297,19202,750,1033,226,1320,291,1071,267,807,152,232,124,879,323,1048,332,1478,253,2605,295,2503,253,2710,317,2138,286,1020,210,358,148,21589,807,1166,196,1349,259,1163,314,567,180,344,113,1076,250,1428,278,1490,225,2564,284,2285,389,3104,394,2744,285,1425,223,884,287
1600000US0135896,0135896,"Hoover city, Alabama",62480,3243,30250,2203,1739,637,2086,720,1549,682,1115,471,372,337,736,530,1734,675,2476,799,3416,882,3308,893,5426,1034,3456,913,1860,453,977,461,32230,1912,1737,584,1379,570,1737,657,908,518,711,609,1305,592,1530,534,1659,574,3962,762,4167,1118,5406,1148,4393,1008,2259,604,1077,471
1600000US0137000,0137000,"Huntsville city, Alabama",112586,4383,55295,2765,2653,983,2674,748,2478,667,1566,467,1258,528,2981,1167,4406,849,3722,951,6666,1061,7476,1185,9003,957,6246,729,2952,586,1214,412,57291,2392,2680,846,2211,792,3829,1209,1430,535,590,314,3548,850,3522,863,3272,716,5834,1264,7876,1205,9242,1009,6960,824,4139,708,2158,592
1600000US0150000,0150000,"Mobile city, Alabama",77861,4258,38221,2669,2092,768,1546,626,1360,563,936,460,1108,399,3107,781,3537,854,3116,874,4159,827,4760,830,5878,952,4556,771,1649,495,417,238,39640,2492,2025,720,1525,705,1127,387,700,348,1348,450,2810,709,2779,888,2969,728,3859,792,5421,1050,5713,994,4835,795,2960,698,1569,557
1600000US0151000,0151000,"Montgomery city, Alabama",62415,2066,29907,1173,1303,286,924,306,1885,276,1031,115,787,390,1751,511,1972,322,1941,280,3424,401,3861,390,4724,466,3738,338,1990,386,576,319,32508,1159,1294,249,1303,424,1519,402,826,135,926,530,1597,501,1995,160,1595,319,3273,335,4094,330,5209,505,4545,384,3203,437,1129,440
1600000US0177256,0177256,"Tuscaloosa city, Alabama",48362,3364,23870,2081,1191,535,1166,578,863,453,337,301,3501,755,4197,1084,2440,674,1528,541,2009,707,1811,641,1881,505,1655,475,1037,389,254,187,24492,2095,919,452,976,548,432,384,524,393,4810,1205,3296,1143,2526,709,856,424,1999,567,2240,653,2281,696,1814,503,1449,538,370,293
1600000US0203000,0203000,"Anchorage municipality, Alaska",169583,1071,88681,655,5010,153,4804,604,3969,684,2455,271,1746,153,6735,153,7991,153,7727,153,11898,153,12288,154,12964,205,7744,153,2774,323,576,323,80902,561,4718,161,3462,763,4727,811,2427,55,1300,153,4846,78,6909,211,6703,153,10810,207,11237,153,12371,153,7189,153,2689,480,1514,480
1600000US0404720,0404720,"Avondale city, Arizona",22681,3811,10627,2007,271,205,489,387,947,526,307,292,427,371,508,336,650,485,516,351,2151,946,1080,545,1401,598,1331,736,0,208,549,464,12054,2396,656,427,625,481,464,334,410,382,148,146,1410,960,702,415,941,497,1390,558,1991,796,1929,712,958,534,418,299,12,16
