RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910600,936600,1005300,929400,901700,845600,844700,861700,8.64E+05,844900,873100,887200,947800,1012800,1048100,1117300,1043200,1005700,9.23E+05,926900,910400,888600,920800,909300,1040500,1036800,1008500,941300,997600,1090100,1.14E+06,1051700,943200,902300,928800
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394100,396100,402400,411100,4.15E+05,389300,3.84E+05,3.78E+05,390700,389400,381800,380700,366300,373300,366200,365800,321100,324900,309900,314700,307500,316700,324100,321500,328500,338400,330700,3.18E+05,3.22E+05,3.19E+05,3.28E+05,298100,311300,308900,316900,304700,306400,326300,336900,354100,360300,364400,363300,365900,376300,338100,333100,335600,380400,419400,404300,4.11E+05,401500,429700,440500,
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269100,274700,267400,263500,252900,251600,252800,263500,262700,261700,254600,249800,251400,258400,2.65E+05,266700,267300,274200,278900,276900,270200,271200,274900,280400,278300,280700,2.80E+05,282300,278900,281600,284600,291700,290500,286900,290100,291100,302900,301500,313800,311500,312900,302100,2.93E+05,3.00E+05,301500,310200,302200,304700,304500,304600,305200,308800,312600,314500,316300,314100,323200,329800,336600,337600,330400,327700,315400,314400,318100,320900,319900,318400,321700,321100,331900,334200,341900,347100,345200,345200,331900,329100,315800,310300,309100,323800,,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111200,1.13E+05,113200,118400,119800,123600,120200,125600,121700,122600,117400,123300,119200,118200,114100,1.18E+05,119600,118600,118100,117200,117400,119700,124100,121400,1.22E+05,118700,117500,120600,120300,116600,1.05E+05,106700,112600,1.21E+05,119700,120700,118100,119800,118900,119400,118300,117700,1.20E+05,1.15E+05,116100,114200,119100,119300,121300,121400,123600,1.22E+05,120700,117700,1.20E+05,123500,121600,116900,114400,119200,1.19E+05,118100,118300,123500,127800,127800,125700,1.24E+05,125600,129100,129400,1.27E+05,126900,128900,128700,126600,131600,133500,133300,127600,128300,127200,127400,127200,131200,131900,130800,1.29E+05,129500,127700,127900,128100,
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145700,147800,146700,148800,149600,152800,151800,152500,154400,155600,152400,150500,155600,1.62E+05,163800,160300,159900,1.65E+05,171100,172600,172100,168700,166600,165200,167200,167400,1.69E+05,165100,166900,164800,169200,170700,174400,175300,176700,177100,175800,173800,171800,177700,179500,181200,176900,177700,177400,179200,183200,186500,190100,190500,188600,186600
61616,10002,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450600,427400,405600,435900,448300,469700,456100,496200,521700,542500,529800,545600,535200,562200,5.36E+05,534400,516400,563400,5.61E+05,565300,545100,548800,569400,580900,619900,590600,612800,668900,685900,661500,582400,601200,568800,627100,617700,654600,653700,6.83E+05,679200,669900,719300,789300,846400,834800,814300,772600,751900,738500,728500,748500,790200,798100,829500,762700,777900,719200,794200,767300,856400,844600,850800,805900,811200,849700,848500,923900,967400,978600,870400,823400,805900,857300,786100,778400,722900,843100,828700,810400
61630,10016,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677900,825500,846900,874600,772100,770900,760300,7.40E+05,832700,852700,853400,718300,685500,709900,720500,703200,661200,730600,7.87E+05,855600,825800,834100,797100,823300,829400,821800,813500,8.00E+05,807600,805500,7.75E+05,758600,747600,782500,808900,881800,871800,891900,785800,774200,781400
74101,37013,Tennessee,8,133400,1.35E+05,133400,133200,132400,132200,131200,131200,127600,124100,121700,125700,132100,131800,128700,125600,128800,129200,127300,127300,123900,125500,120900,1.23E+05,123100,1.22E+05,122200,121800,121800,1.18E+05,117200,1.13E+05,111300,110500,110800,114200,109400,105500,102300,103300,106200,103300,102700,100400,101500,106100,110700,114100,107300,104200,103900,105100,104200,9.90E+04,1.06E+05,112600,114600,107400,105800,109500,114900,120200,121600,124900,123800,120200,117800,119300,125100,130100,132900,134500,133600,1.32E+05,131500,130600,129100,129600,130800,131700,132800,133300,136100,145100,149500,147600,142100,141800,147600,148400,148500,146900,147600,148400,152700,1.53E+05,155400,154100,158900,161900,163800,162900,165700,168600,172700,173300,173400,175700,175700,179900,178300,179200,180400,185700,191400,195100,195400,195600,1.93E+05,196100,200300,206800,214300,216100,221300,216100,217900,216500,214800,214500,209800,212900
71831,32162,Florida,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181300,186300,184600,187800,190700,1.96E+05,199600,206600,207300,2.11E+05,210100,211800,213100,218500,226400,2.28E+05,226600,2.30E+05,231800,234300,233300,234100,2.30E+05,230100,231600,236700,234100,235500,240400,245800,241900,235900,229600,231600,228100,232500,233100,239700,236600,237200,236300,236900,237300,236100,235900,238100,239500,240600,2.33E+05,2.29E+05,236600,2.42E+05,245600,236800,236900,238400,239200,2.38E+05,235200,233900,234200,233700,2.36E+05,242800,2.50E+05,254900,2.51E+05,257300,252500,254400,2.45E+05,248400,251500,250700,
96107,90250,California,10,479900,449700,398300,385900,429400,409200,399400,374800,388600,393900,357200,336200,3.19E+05,321800,314900,318900,319800,322200,317900,313500,313200,334100,3.24E+05,328700,320800,345500,372400,359500,354800,331300,332300,335100,323500,329900,317100,346400,3.35E+05,363800,334100,322400,301400,296800,312400,311600,327400,324300,302600,274800,278500,301900,320300,312200,325100,318100,332100,322400,362300,359300,3.55E+05,346400,365300,372100,368600,387600,402100,419800,414200,401300,403600,3.99E+05,431500,433600,431200,431400,444100,457600,467200,479600,488400,486200,457500,477500,448100,469600,477400,512500,519900,501500,4.98E+05,477300,478100,481100,503200,5.11E+05,498500,505300,501200,524800,5.14E+05,535100,5.39E+05,553400,544500,553700,562300,567800,576300,577600,581300,5.85E+05,599500,596400,6.29E+05,604500,607700,567700,571500,563900,556900,584800,606400,639800,647400,659700,678600,682600,680600,6.57E+05,650500,648800,665600,727700
74242,37211,Tennessee,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172800,173400,170800,168600,1.72E+05,174100,1.81E+05,1.77E+05,181800,182800,187400,184600,185700,183100,187400,189600,192800,198100,211500,215500,2.14E+05,201400,201900,203400,208500,2.13E+05,218300,222800,222800,222500,223200,228200,230100,235800,233600,235500,230800,237600,239400,239900,238800,2.38E+05,255600,257900,265800,259100,257500,254400,245600,247900,252700,253700,2.57E+05,260400,276400
84620,60618,Illinois,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347400,354700,377500,378700,367100,360400,351200,356500,343800,355600,357300,369100,3.58E+05,343100,333800,341500,347700,334500,340900,3.19E+05,3.21E+05,286400,293700,291300,320200,343200,347200,357800,352900,373200,372800,390400,395500,3.84E+05,375700,367800,371800,342100,318400,308100,340300,366800,376800,389100,3.98E+05,407400,377900,3.67E+05,359400,372800,388400,394400,393400,387800,400300,392400
92036,77573,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192200,190900,190400,191300,1.91E+05,193300,189200,195800,1.96E+05,200300,196400,198400,200100,203700,205900,2.14E+05,215900,215800,215500,225400,232700,234100,229300,228300,234500,236500,238900,232100,233700,233800,235200,235300,235500,236900,236400,2.40E+05,240100,238200,237100,239600,247500,248400,240600,2.37E+05,235500,239900,241600,245400,252100,254800,256700,256700,256200,257200,258900,259400,259900,260500,261300,259600,256900,256300,259600,258700,267500,263700,263600,259700,255200,
92045,77584,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173900,183500,189100,192700,1.94E+05,192600,190900,192300,192600,193900,191500,194700,194800,197200,193500,194500,194200,199900,210100,210300,208900,200700,2.05E+05,206800,216400,224700,231200,230600,226600,222200,221700,2.21E+05,221500,226900,231400,236700,235600,235400,238300,238400,241900,245200,251300,256100,263300,261200,261800,257600,258500,256900,251400,249900,2.51E+05,253400,253700,253600,257200,257100,249700,252500,2.54E+05,263500,253400,252800,249300,254200,258200,262200,268900,277600,
66126,20002,District of Columbia,15,401800,402600,348700,333500,350500,365100,370400,364500,359700,344200,317200,314900,306600,3.23E+05,294800,286500,297400,327500,331400,312800,314700,312600,324600,319300,315600,296200,292900,302700,307300,3.20E+05,343600,355200,375200,352400,363400,355500,356700,342800,322400,332400,341400,349500,335300,3.52E+05,343600,368300,331300,352500,334600,357800,346200,368900,387700,403700,418300,413500,412300,391700,3.97E+05,404800,412300,412900,420200,429800,437300,440800,464800,475300,475600,4.64E+05,456700,465700,470600,459700,431500,438200,469900,495300,498900,501200,512400,504200,5.04E+05,508500,514300,516900,4.98E+05,504700,501800,523800,520200,523300,526100,524800,534400,524500,529400,528600,538900,526200,5.21E+05,520200,5.36E+05,563900,561400,567800,530800,585700,593200,614600,563900,559900,569500,582400,593700,582300,569600,584200,610600,648300,643700,625300,608500,590400,595500,597100,604100,603500,628600,620300,607400,
92271,78130,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197600,200800,1.97E+05,188900,187900,181200,182900,190300,199700,202900,200800,198900,199900,198400,202800,198800,2.04E+05,201700,206900,204600,209500,211600,218300,2.20E+05,219900,217900,218800,221700,225700,213300,210500,205400,217200,228900,226100,227400,226100,228800,2.22E+05,217200,226100,227200,228900,225400,
69816,28269,North Carolina,17,153900,156400,151900,150100,142600,142200,147100,149300,1.43E+05,139900,140800,1.52E+05,1.49E+05,153100,150400,154100,149800,148900,150900,151500,150700,143300,137900,137100,140500,148100,1.50E+05,150400,148900,139500,133800,127500,133100,135100,138300,142500,139900,139100,133300,135100,136400,133900,131500,135400,132400,133400,130700,132400,128100,130700,140200,142600,1.37E+05,128900,134900,135700,1.35E+05,132500,1.36E+05,1.45E+05,148900,148500,1.48E+05,143900,146300,148800,1.58E+05,155500,154800,148600,152100,156500,165800,165600,163800,157200,159700,1.62E+05,165500,162200,160400,162600,1.64E+05,164700,1.62E+05,162300,164300,166300,166900,163500,163200,164800,162200,164800,166300,169200,168100,175100,176700,179600,173300,176500,175500,177900,180500,1.78E+05,1.74E+05,170100,174200,178400,180400,180400,175300,173300,172600,178300,181900,183500,182400,187900,193600,197400,199900,199700,1.99E+05,192400,193900,1.95E+05,1.96E+05,197400,198200,210700
92551,78613,Texas,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251200,253400,254700,253900,254100,257700,255700,254300,251200,256300,263200,266600,267300,265600,267900,268800,272500,272700,2.77E+05,275300,277700,275500,277200,277700,284400,283200,283500,276200,278900,277500,279300,280900,276800,275200,274500,2.79E+05,282500,291200,3.01E+05,305300,300100,303500,305400,,
